question,error,domain,country,organization_name,confidence,pretty_citations
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in HONDURAS?",,JUSTICE,HONDURAS,"Ministry of Interior, Justice, and Decentralization",ConfidenceLevel.HIGH,"[1] Honduras - Center for the Administration of Justice - FIU (https://caj.fiu.edu/national-cj-systems/central-america/honduras/) - Updated: 2025-10-20 
    The judicial branch of government consists of a Supreme Court of Justice, courts of appeals, courts of first instance (Juzgados de Letras), and jus...

[2] Honduras - CJA (https://cja.org/what-we-do/transitional-justice-initiatives/honduras/) - Updated: 2024-10-16 
    The Attorney General of Honduras, Rosa Bautista, approached CJA in May 2006, following the conclusion of the U.S. civil case against López Grijalba...

[3] An Independent Supreme Court in Honduras: The Key to Justice ... (https://www.wola.org/analysis/independent-supreme-court-honduras-key-justice/) - Published: 2022-12-15 
    For the first time in a long time, Honduras is facing the possibility of electing independent magistrates to the Supreme Court of Justice.

[4] Administration of Justice in Honduras Description and Analysis of ... (https://www.ojp.gov/ncjrs/virtual-library/abstracts/administration-justice-honduras-description-and-analysis-area) - Updated: 2025-03-19 
    This investigative report provides an overview of the development, organization, and operation of the Honduran criminal justice system. Abstract. A...

[5] OHCHR in Honduras (https://www.ohchr.org/en/countries/honduras/our-presence) - Published: 2004-02-01 
    The mandate of the Office in Honduras is to monitor and report on the human rights situation in the country, provide technical assistance to the Go...

[6] Executive branch of the government of Honduras - Wikipedia (https://en.wikipedia.org/wiki/Executive_branch_of_the_government_of_Honduras) - Published: 2016-06-13 
    Minister of Health, José Manuel Matheu ; Minister of Agriculture and Farming, Laura Suazo ; Minister of the Interior, Justice, and Decentralization...

[7] Ministry of Human Rights, Justice, Governance and Decentralization (https://en.wikipedia.org/wiki/Ministry_of_Human_Rights,_Justice,_Governance_and_Decentralization) - Published: 2024-08-29 
    Established as early as 1826, the Ministry of Human Rights, Justice, Governance and Decentralization of Honduras was created from the territorial d...

[8] 2024 Country Reports on Human Rights Practices: Honduras (https://www.state.gov/reports/2024-country-reports-on-human-rights-practices/honduras) 
    There were no significant changes in the human rights situation in Honduras during the year. Significant human rights issues included credible repo...

[9] ️Ministry of Human Rights, Justice, Governance ... - Development Aid (https://www.developmentaid.org/organizations/view/339606/ministry-of-human-rights-justice-governance-and-decentralization-of-honduras) 
    We are the governing institution regarding the government of the interior of the republic, governance, access to justice and decentralization, ...

[10] Secretaria de Gobernacion, Justicia y Descentralizacion (Ministry of ... (https://www.devex.com/organizations/secretaria-de-gobernacion-justicia-y-descentralizacion-ministry-of-interior-justice-and-decentralization-honduras-192355) - Updated: 2025-08-27 
    They are the governing institution regarding the government of the interior of the republic, governance, access to justice and decentralization."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in SENEGAL?",,JUSTICE,SENEGAL,Ministry of Justice,ConfidenceLevel.HIGH,"[1] Minister of Justice - SENEGEL (https://www.senegel.org/en/administration/executive-power/ministers/orgdetails/212) - Published: 2014-07-04 
    Le Ministère de la Justice a à sa tête depuis 4 juillet 2014 monsieur Sidiki Kaba surnommé le garde des sceaux est sous l'autorité du Premier Minis...

[2] Ministry of Justice (Senegal) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_(Senegal)) - Published: 2024-08-29 
    The Ministry of Justice of Senegal is in charge of the courts of the judiciary (excluding the Supreme court), training of magistrates and other jud...

[3] Improving Citizens' Local Access to Justice (SN0008) (https://www.opengovpartnership.org/members/senegal/commitments/SN0008/) - Published: 2019-05-01 
    Further Information Senegal currently has 20 houses of justice throughout the country, staffed mainly by contractual workers and volunteers. The nu...

[4] Improve Access to Public Services and Justice (SN0017) (https://www.opengovpartnership.org/members/senegal/commitments/SN0017/) - Published: 2019-05-01 
    This is the case with the reform of the judicial map and the creation of 32 justice centers (Administration), law shops (Association of Senegalese ...

[5] Senegal Shakes Up Cabinet in Bid to Accelerate Reforms and ... (https://www.ecofinagency.com/news/0709-48472-senegal-shakes-up-cabinet-in-bid-to-accelerate-reforms-and-tackle-challenges) - Published: 2025-09-07 
    The Interior Ministry is now headed by Mouhamadou Bamba Cissé, a lawyer and close associate of Prime Minister Ousmane Sonko. Sonko, in a ...

[6] Ministère de la Justice du Sénégal: Accueil (https://justice.sec.gouv.sn) - Updated: 2025-08-01 
    LE MINISTÈRE. Le Ministre · Cabinet et services rattachés · Secrétariat général et services · Directions · Autres administrations · Organigramme.

[7] The Government - Presidency of Senegal (https://www.presidence.sn/en/institutions/le-gouvernement/) - Published: 2024-11-01 
    Mr. Ousmane SONKO. Prime Minister ; Mrs. Yassine FALL. Minister of Justice, Keeper of the Seals ; Mr. Birame Soulèye DIOP. Minister of Energy, Petr...

[8] ️Ministry of Justice / Ministère de la Justice (Senegal) (https://www.developmentaid.org/organizations/view/159774/ministry-of-justiceministere-de-la-justice-senegal) - Updated: 2025-10-04 
    Ministry of Justice / Ministère de la Justice (Senegal) — Government Body from Senegal with 51-200 employees, it`s involved in Law sector.

[9] 2019 Country Reports on Human Rights Practices: Senegal (https://www.state.gov/reports/2019-country-reports-on-human-rights-practices/senegal/) - Published: 2025-01-03 
    The Ministry of Justice is responsible for combating domestic violence, but it did not make public any programs to address rape and domestic violen...

[10] The Permanent Secretary meets Senegalese Minister of Justice (https://www.ohada.org/en/the-permanent-secretary-meets-senegalese-minister-of-justice/) - Published: 2023-11-30 
    The Permanent Secretary meets Senegalese Minister of Justice. On the 17th of November 2023, Professor Mayatta Ndiaye MBAYE, Permanent Secretary of ..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in TUNISIA?",,JUSTICE,TUNISIA,Ministry of Justice,ConfidenceLevel.HIGH,"[1] Ministry of Justice (Tunisia) - Devex (https://www.devex.com/organizations/ministry-of-justice-tunisia-237849) - Updated: 2025-10-22 
    Its primary responsibilities include managing all judicial services and overseeing the proper operation of judicial and penal institutions.

[2] Tunisia - Central Authority - HCCH (https://www.hcch.net/en/states/authorities/details3/?aid=1100) - Published: 2025-08-13 
    Address: Ministry of Justice Boulevard Bab Bnet Tunis Tunisia ; Telephone: +216 71 57 23 40 ; Fax: +216 71 56 57 45 ; E-mail: cheikh.sondes@justice...

[3] Tunisian Ministry of Justice - IALS Digital resources (https://resources.ials.sas.ac.uk/eagle-i/tunisian-ministry-justice) - Updated: 2025-09-15 
    Section of the Tunisian government website covering the Ministry of Justice. It outlines the role and structure of the department and provides info...

[4] Member States Tunisia - EATJN - eajtn (https://www.eajtn.com/member-states/tunisia/) - Published: 2023-11-12 
    Tunisian Government Portal · Presidency of the Government Portal · Ministry of Justice Website · Assembly of the Representatives of the People of T...

[5] Ministry of Justice of Tunisia (Le Ministère de la ... - Development Aid (https://www.developmentaid.org/organizations/view/143414/ministry-of-justice-of-tunisia-le-ministere-de-la-justice-de-la-tunisie) 
    Ministry of Justice of Tunisia (Le Ministère de la Justice de la Tunisie) — Government Body from Tunisia with 51-200 employees, it`s involved in Ju...

[6] Tunisia | International Center for Transitional Justice (https://www.ictj.org/where-we-work/tunisia) - Updated: 2025-07-28 
    Through its Transitional Justice law, Tunisia confirmed its commitment to a transition based on accountability for the past, respect for victims' r...

[7] Human rights in Tunisia - Amnesty International (https://www.amnesty.org/en/location/middle-east-and-north-africa/north-africa/tunisia/report-tunisia/) - Published: 2025-08-25 
    According to the Tunisian Judges' Association, the minister of justice ordered the appointment, transfer or suspension of at least 105 judges and ...

[8] Ministry of Justice (Tunisia) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_(Tunisia)) - Published: 2016-08-24 
    The Ministry of Justice (Arabic: وزارة العدل) is a government ministry office of the Republic of Tunisia, responsible for justice affairs."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in DOMINICA?",,JUSTICE,DOMINICA,"Ministry of Justice, Immigration, and National Security",ConfidenceLevel.MEDIUM,"[1] Dominica - Ministry of Labour, Public Service Reform, Social ... - Rial (https://rialnet.org/?q=en%2Fnode%2F656) 
    Dominica - Ministry of ... (767) 266 3289. Address: 5th Floor, Financial Centre - Kennedy Avenue, Roseau - Dominica. Ministry webpage: http://justi...

[2] Commonwealth Caribbean Law Research Guide: Dominica (https://guides.law.fsu.edu/caribbean/dominica) - Published: 2014-06-26 
    The parliament is unicameral, with 21 elected members and 9 appointed senators in the House of Assembly. The judiciary consists of the Magistrates'...

[3] The Commonwealth of Dominica - Caribbean Court of Justice (https://ccj.org/member-states/dominica/) - Published: 2025-07-23 
    Prime Minister: The Honourable Mr. Roosevelt Skerritt; Chief Justice: Her Ladyship, The Honourable Justice Margaret Price-Findlay (Acting Chief Jus...

[4] Country Links (D-K) - Department of Justice (https://www.justice.gov/jmd/ls/countries-d-k) - Published: 2025-07-15 
    Constitutions, Codes & Laws. Constitution Project · Laws of Dominica · Derecho Penal - University of Fribourg . Includes criminal codes and ...

[5] Government of Dominica (https://dominica.gov.dm) - Published: 2025-10-15 
    National Symbols

### Most Recent

*15October 2025*

##### Dominica Parliament Approves Historic Bill to Establish World’s First Sperm Whale Reserv...

[6] Dominica: Freedom in the World 2024 Country Report (https://freedomhouse.org/country/dominica/freedom-world/2024) - Published: 2024-03-07 
    Dominica is rated ""Free"" with a score of 93/100. While civil liberties are generally upheld, concerns exist regarding election management, judicial...

[7] 2020 Country Reports on Human Rights Practices: Dominica (https://2021-2025.state.gov/reports/2020-country-reports-on-human-rights-practices/dominica/) - Published: 2023-12-07 
    The Ministry of Justice, Immigration, and National Security oversees the police, the country's only security force. The Financial Intelligence Unit...

[8] Ministries of the Dominican Republic - Wikipedia (https://en.wikipedia.org/wiki/Ministries_of_the_Dominican_Republic) - Published: 2025-03-16 
    As of February, 2023, the Dominican Republic has a total of 24 Ministries, including the General Attorney's Office."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in NIGER?",,JUSTICE,NIGER,Ministry of Justice and Human Rights,ConfidenceLevel.HIGH,"[1] People-centred justice strategy launched in Niger following year ... (https://www.hiil.org/news/people-centred-justice-strategy-launched-in-niger-following-year-long-consultations/) - Published: 2025-04-18 
    The proposed strategy offers a roadmap to help prevent or resolve Nigeriens' most pressing justice problems through practical, inclusive solutions.

[2] Niger Junta Dissolves Justice-Sector Unions - Human Rights Watch (https://www.hrw.org/news/2025/08/11/niger-junta-dissolves-justice-sector-unions) - Published: 2025-08-11 
    The military junta in Niger announced on August 7 the dissolution of four main justice-sector unions, undermining workers' rights to freedom ...

[3] Ministry of Justice (Niger) - Devex (https://www.devex.com/organizations/ministry-of-justice-niger-184431) - Updated: 2025-07-01 
    The Ministry of Justice is an administrative service which has existed since December 1960, the date of their country's independence.

[4] Ikta Abdoulaye Mohamed - World Justice Project (https://worldjusticeproject.org/world-justice-forum-2022/ikta-abdoulaye-mohamed) - Published: 2022-01-01 
    Minister of Justice of Niger​​ Mr. Mohamed Ikta Abdoulaye is the Minister of Justice of Niger since November 2021 and a member of the National Secu...

[5] ️Ministry of Justice/ Ministère de la Justice (Niger) - Development Aid (https://www.developmentaid.org/organizations/view/197857/ministry-of-justice-ministere-de-la-justice-niger) 
    Established in 1960, the Ministry of Justice of Niger provides litigants and citizens with the means of the judicial system (magistrates, clerks, c...

[6] 2024 Country Reports on Human Rights Practices: Niger (https://www.state.gov/reports/2024-country-reports-on-human-rights-practices/niger) 
    2024 Country Reports on Human Rights Practices: Niger ... Ministry of Justice to combat trafficking in persons and slavery practices in the country.

[7] Niger Movement for Justice - Wikipedia (https://en.wikipedia.org/wiki/Niger_Movement_for_Justice) - Published: 2007-09-05 
    The Nigerien's Movement for Justice (French: Mouvement des Nigériens pour la justice, MNJ) is a largely ethnic Tuareg militant group based in north...

[8] Ministry of Justice Archives - Niger State Official Website (https://nigerstate.gov.ng/category/mdas/ministry-of-justice/) - Published: 2024-11-09 
    Niger State Governor Farmer Mohammed Umaru Bago has presented Officials Vehicles to his Commissioners, Permanent Secretaries, and other Principal o..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in BRUNEI?",,JUSTICE,BRUNEI,Attorney General's Chambers,ConfidenceLevel.HIGH,"[1] Attorney General's Chambers - Criminal Justice Division (https://www.agc.gov.bn/AGC%20Site%20Pages/Criminal%20Justice%20Division.aspx) - Published: 2025-09-29 
    Mission. ""Safeguarding a fair criminal justice system for the public, victims and defendants by maintaining a competent and impartial prosecution s...

[2] Judicial System in Brunei Darussalam - Commonwealth Governance (https://www.commonwealthgovernance.org/countries/asia/brunei_darussalam/judicial-system/) - Published: 2014-03-11 
    There are two parallel justice systems, one presided over by the Supreme Court and the other by the Sharia courts.

[3] [PDF] CHAPTER 3 – GOVERNMENT AND THE STATE (https://www.aseanlawassociation.org/wp-content/uploads/2019/11/ALA-BRU-legal-system-Part-3.pdf) - Updated: 2025-10-21 
    The Supreme Court of Brunei Darussalam is the body wholly responsible for the administration of justice in civil law (as opposed to “syariah law”) ...

[4] Brunei - Justice, Sharia Law, Monarchy | Britannica (https://www.britannica.com/place/Brunei/Justice) - Published: 2025-09-15 
    Judicial power is vested in the Supreme Court, composed of the Court of Appeal and the High Court, beneath which are the magistrates' courts.

[5] Supreme Court of Brunei Darussalam - Wikipedia (https://en.wikipedia.org/wiki/Supreme_Court_of_Brunei_Darussalam) - Published: 2019-10-09 
    The Supreme Court of Brunei Darussalam is, in theory, the highest court of Brunei Darussalam, though its decisions are subject to appeal in civil c...

[6] Introducing Brunei - mfa.gov.bn (https://www.mfa.gov.bn/germany-berlin/SitePages/bruneiintroduction.aspx) - Published: 2025-10-21 
    His Majesty is also the Prime Minister and heads a team of Cabinet Ministers. Judiciary. Brunei Darussalam's judiciary system is based on English C...

[7] Judiciary: Home (https://www.judiciary.gov.bn/Theme/Home.aspx) - Published: 2024-02-01 
    For Judgment Search. Please click on the link below which will take you to the Efiling Portal: efiling.judiciary.gov.bn. For Verification Document ...

[8] Government of Brunei - Wikipedia (https://en.wikipedia.org/wiki/Government_of_Brunei) - Published: 2002-08-27 
    The other system of justice in Brunei is the shariah courts. It deals mainly in Muslim divorce and matters ancillary to a Muslim divorce in its civ...

[9] Home - Judiciary (https://www.judiciary.gov.bn/e/Home.aspx) - Published: 2024-02-01 
    High Court - Supreme Court Building,. Jalan Raja Isteri Pengiran Anak ... Powered by IT and E-Government, Prime ​Minister's Office, Brunei Darussal...

[10] Home - Attorney General's Chambers (https://www.agc.gov.bn/Theme/Home.aspx) - Published: 2025-10-20 
    Upcoming Events · - S 71/2018 - Penal Code (Amendment) (No.2) Order, 2018 · - S 72/2018 - Passports (Visa) (Exemption) (Amendment) (No. 2) Order, 2..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in LUXEMBOURG?",,JUSTICE,LUXEMBOURG,Ministry of Justice,ConfidenceLevel.HIGH,"[1] Luxembourg Ministère de la Justice | IALS Digital resources (https://resources.ials.sas.ac.uk/eagle-i/luxembourg-ministere-de-la-justice) - Updated: 2025-09-02 
    Official website of the Luxembourg Ministry of Justice. The site provides a profile of the Justice Minister and information on the organisation and...

[2] Ministry of Justice - The Luxembourg Government - Gouvernement.lu (https://mj.gouvernement.lu/en/le-ministere.html) - Published: 2024-02-08 
    The Ministry of Justice handles civil, criminal, and corporate matters, the justice system, legal professions, and fights against money ...

[3] Ministry of Justice - Wikidata (https://www.wikidata.org/wiki/Q56308830) - Published: 2023-11-17 
    instance of · Ministry in the government of Luxembourg. 0 references · part of · Government of Luxembourg. 0 references · official name. Ministère ...

[4] Ministry of Justice - Guichet.lu - Luxembourg (https://guichet.public.lu/en/citoyens/organismes/organismes_citoyens/ministere-justice.html) - Published: 2023-01-24 
    Monday to Friday (except on public holidays) from 8.30 to 11.30 and 14.30 to 16.00 / Special opening hours during Christmas and the summer ...

[5] Reporting to the Ministry of Justice - Guichet.lu - Luxembourg (https://guichet.public.lu/en/citoyens/justice/lanceurs-alerte/alerte-ministere-justice.html) - Published: 2025-07-24 
    The Ministry of Justice (hereinafter referred to as 'the ministry') has launched an online assistant on MyGuichet.lu which allows whistleblowers ...

[6] ️Ministry of Justice of Luxembourg - Development Aid (https://www.developmentaid.org/organizations/view/136001/ministry-of-justice-of-luxembourg) 
    The Ministry of Justice handles civil, criminal, and business affairs, including legislation, procedures, and judicial organizations.

[7] Ministry of Justice - The Luxembourg Government (https://mj.gouvernement.lu/en.html) - Published: 2025-01-30 
    Official website of the Ministry of Justice.

[8] List of ministers for justice of Luxembourg - Wikipedia (https://en.wikipedia.org/wiki/List_of_ministers_for_justice_of_Luxembourg) - Published: 2006-08-29 
    The minister for justice is responsible for prisons, extradition, gambling, and the smooth operation of the judiciary."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in HUNGARY?",,JUSTICE,HUNGARY,Ministry of Justice,ConfidenceLevel.HIGH,"[1] Minister of Justice (Hungary) - Wikipedia (https://en.wikipedia.org/wiki/Minister_of_Justice_(Hungary)) - Published: 2010-06-21 
    The minister of justice of Hungary (Hungarian: Magyarország igazságügyi minisztere) is a member of the Hungarian cabinet and the head of the Minist...

[2] ️Ministry of Justice and Law Enforcement of Hungary (https://www.developmentaid.org/organizations/view/31844/ministry-of-justice-and-law-enforcement-of-hungary) 
    Ministry of Justice and Law Enforcement of Hungary is responsible for. Enforcing Criminal Law through the General Prosecution system;

[3] About the network | European e-Justice Portal (https://e-justice.europa.eu/topics/trainings-judicial-networks-and-agencies/european-judicial-network-civil-and-commercial-matters/about-network/hu_en) - Published: 2024-01-15 
    Practical information on judicial cooperation in civil matters within the EU and with third countries.

[4] Hungarian Minister of Justice visits Eurojust (https://www.eurojust.europa.eu/news/hungarian-minister-justice-visits-eurojust) - Published: 2019-11-14 
    Ms Varga was appointed as Minister of Justice in July of this year. The portfolio of the Ministry of Justice now includes tasks related to Hungary'...

[5] Ministry of Justice - Contacts - Government - Kormany.hu (https://2015-2019.kormany.hu/en/ministry-of-justice/contacts) - Published: 2013-10-16 
    Ministry of Justice. Head office: 1055 Budapest, Kossuth Lajos tér 2-4. Postal address: 1357 Budapest, Pf.: 2. Phone: +36-1-795-6411. Fax: +36-1-79...

[6] Ministry of justice - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_justice) - Published: 2004-08-01 
    A ministry or other government agency in charge of the administration of justice. The ministry or department is often headed by a minister of justice.

[7] Ministry of Justice - The Minister - Government - Kormany.hu (https://2015-2019.kormany.hu/en/ministry-of-justice/the-minister) - Published: 2019-07-12 
    Judit Varga Minister of Justice of Hungary. Personal information, Professional experience, Education, Languages.

[8] Ministry of Justice - About Hungary (https://abouthungary.hu/tags/ministry-of-justice) - Published: 2023-03-13 
    PM Orbán nominates Judit Varga as new Minister of Justice​​ Under Varga the Justice Ministry will assume the tasks related to the country's Europea...

[9] Hungary - Central Authority (Art. 2) and practical information - HCCH (https://www.hcch.net/en/states/authorities/details3/?aid=635) - Published: 2025-06-16 
    Address: Ministry of Justice (Igazságügyi Minisztérium) Department of Private International Law (Nemzetközi Magánjogi Főosztály)"
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in NIGERIA?",,JUSTICE,NIGERIA,Federal Ministry of Justice,ConfidenceLevel.HIGH,"[1] Federal Ministry of Justice (Nigeria) - Wikipedia (https://en.wikipedia.org/wiki/Federal_Ministry_of_Justice_(Nigeria)) - Published: 2009-12-24 
    The Federal Ministry of Justice is the legal arm of the Federal Government of Nigeria, primarily concerned with bringing cases before the judiciary.

[2] Lagos State Ministry of Justice – Committed to bringing justice to ... (https://lagosstatemoj.org) - Published: 2025-07-06 
    Address : Lagos State Ministry of Justice, Alausa, Ikeja, Lagos, Nigeria. Open : 9AM – 5PM (Mon – Fri). Copyright © 2025 Lagos State Ministry of Ju...

[3] ""The Federal Ministry of Justice as Government's Legal Adviser to ... (https://digitalcommons.schulichlaw.dal.ca/dlj/vol5/iss1/7/) - Published: 2019-10-03 
    The Federal Ministry of Justice was formally established on October 1, 1960 when Nigeria attained independence.

[4] Federal Ministry of Justice (http://justice.gov.ng) - Published: 2025-09-24 
    The Federal Ministry of Justice is the legal arm of the Federal Government of Nigeria, primarily concerned with bringing cases before the judiciary.

[5] FEDERAL MINISTRY OF JUSTICE Archives (https://fmino.gov.ng/tag/federal-ministry-of-justice/) - Published: 2025-10-16 
    The Federal Ministry of Information and National Orientation serves as the Federal outfit responsible for the dissemination of essential and vital ...

[6] Lagos Ministry of Justice | Criminal Defense (http://lagosministryofjustice.org) - Updated: 2025-04-12 
    Mr. Adeniji Kazeem, Attorney General and Commissioner for Justice welcomes you to Lagos State Ministry of Justice website. Read welcome message."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in SERBIA?",,JUSTICE,SERBIA,Ministry of Justice of the Republic of Serbia,ConfidenceLevel.HIGH,"[1] Ministry of Justice (Serbia) - Devex (https://www.devex.com/organizations/ministry-of-justice-serbia-127884) - Updated: 2025-06-26 
    Learn more about Ministry of Justice (Serbia)'s jobs, projects, latest news, contact information and geographical presence. The scope of the Minist...

[2] Serbia | European Judicial Network(EJN) (https://www.ejn-crimjust.europa.eu/ejn2021/ContentDetail/EN/5/26) - Published: 2021-01-01 
    The Ministry of Justice of the Republic of Serbia is the principal central authority responsible for receiving and acting upon the letters rogatory...

[3] Serbia - Central Authority and practical information - HCCH (https://www.hcch.net/en/states/authorities/details3/?aid=857) - Published: 2023-06-06 
    Ministry of Justice. Contact details: Address: Ministry of Justice of the Republic of Serbia Sector for international legal assistance

[4] Republic of Serbia, Ministry of Justice - Ministarstvo pravde (https://www.mpravde.gov.rs/?change_lang=en) - Updated: 2024-05-02 
    Justice Sector: Judicial administrations, monitoring its administration, including the public prosecutors.

[5] Ministry of Justice (Serbia) - Wikipedia (https://en.wikipedia.org/wiki/Ministry_of_Justice_(Serbia)) - Published: 2025-04-17 
    The Ministry of Justice is a ministry in the Government of Serbia which is in charge of the administration of justice system. The current minister ...

[6] Serbian Ministry of Justice | Office of the War Crimes Prosecutor (https://www.tuzilastvorz.org.rs/en/cooperation/cooperation-state-institutions/serbian-ministry-justice) - Updated: 2025-04-24 
    ""As further fight against corruption remains one of the priority issues, this Ministry expects necessary support in the implementation of the new C..."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in DOMINICAN REPUBLIC?",,JUSTICE,DOMINICAN REPUBLIC,Ministry of Justice,ConfidenceLevel.HIGH,"[1] Ministry of Justice will begin operations after the appointment of its ... (https://deultimominuto.net/en/dominican-news/ministry-of-justice-will-begin-operations-after-the-appointment-of-its-head/) - Published: 2025-08-19 
    The Ministry of Justice will be in charge of prison management in the 32 provinces, forensic assistance to the courts, the administration of ...

[2] Abinader administration pushes forward Ministry of Justice, civil ... (https://dr1.com/news/2025/06/09/abinader-administration-pushes-forward-ministry-of-justice-civil-registry-is-in-the-package/) - Published: 2025-06-09 
    The bill establishes the Ministry of Justice directly under the Executive Branch, marking a substantial reorganization of governmental responsibili...

[3] Legal Research in the Dominican Republic - GlobaLex (https://www.nyulawglobal.org/globalex/dominican_republic1.html) - Published: 2022-07-07 
    The Public Ministry is composed by: The Attorney General of the Republic, which represents the State before the Supreme Court of Justice; General P...

[4] Attorney General of the Republic - Wikipedia (https://en.wikipedia.org/wiki/Attorney_General_of_the_Republic) - Published: 2025-03-16 
    Since February 21, 2025, the Attorney General is Yeni Berenice Reynoso. It is analogous to Departments of Justice or Ministries of Justice in other...

[5] Dominican Republic | Center for the Administration of Justice (https://caj.fiu.edu/national-cj-systems/caribbean/dominican-republic/) - Published: 1997-08-02 
    The judicial system consists of the Supreme Court of Justice, Court of Appeals, Courts of First Instance, and the Justices of the Peace.

[6] Dominica - Ministry of Labour, Public Service Reform, Social ... - Rial (https://rialnet.org/?q=en%2Fnode%2F656) 
    pslabour@dominica.gov.dm. Phone: (767) 266 3289. Address: 5th Floor, Financial Centre - Kennedy Avenue, Roseau - Dominica. Ministry webpage: http:/...

[7] Goverment — DominicanEmbassyIN (https://www.dominicanembassy.in/goverment) - Updated: 2025-10-16 
    The Dominican Republic is a representative democracy with a presidential regime. It's constitution divides the authority of the state into three br...

[8] Country Links (D-K) - Department of Justice (https://www.justice.gov/jmd/ls/countries-d-k) - Published: 2025-07-15 
    Dominican Republic. Constitutions, Codes & Laws. Constitution ... Ministry of Justice of the Kyrgyz Republic · ACE Electoral Knowledge Network ...

[9] Ministries of the Dominican Republic - Wikipedia (https://en.wikipedia.org/wiki/Ministries_of_the_Dominican_Republic) - Published: 2025-03-16 
    As of February, 2023, the Dominican Republic has a total of 24 Ministries, including the General Attorney's Office."
"What is the top-level state Organ (i.e., ministry/department/agency) responsible for JUSTICE in SEYCHELLES?",,JUSTICE,SEYCHELLES,"Ministry of Defence, Legal Affairs, Youth and Hydrocarbons",ConfidenceLevel.HIGH,"[1] Judicial System in Seychelles - Commonwealth Governance (https://www.commonwealthgovernance.org/countries/africa/seychelles/judicial-system/) - Published: 2014-03-11 
    The constitution provides for an independent judiciary. The justice system derives from English common law and the French Napoleonic Code.

[2] Supreme Court of Seychelles - Wikipedia (https://en.wikipedia.org/wiki/Supreme_Court_of_Seychelles) - Published: 2016-02-19 
    The Supreme Court of Seychelles is the highest trial court in Seychelles. The Supreme Court Annexe of the Seychelles Palais de Justice.

[3] The Judiciary of Seychelles – Official Website (https://www.judiciary.sc) - Published: 2022-10-18 
    Palais De Justice; Ile Du Port, Mahe, Seychelles, PO Box 57, Victoria; +248 428 5800 / 4285858 · info@judiciary.gov.sc. USEFUL LINKS. Constitutiona...

[4] Finding the Law in Seychelles - GlobaLex (https://www.nyulawglobal.org/globalex/seychelles1.html) - Published: 2008-10-07 
    There is no Ministry of Justice, Director of Public Prosecutions, or Law Reform Commission. The civil service is a significant employer in Seychell...

[5] Seychelles - Competent Authority (Art. 6) - HCCH (https://www.hcch.net/en/states/authorities/details3/?aid=382) - Published: 2022-01-19 
    Designated Competent Authority(ies): 1 the Minister responsible for Foreign Affairs, or any person designated and officially authorized by him/her.

[6] Legal Affairs - Foreign Affairs Department Republic of Seychelles (https://mfa.gov.sc/legal/) - Published: 2023-04-30 
    It specializes in International Law and related disciplines. It is the custodian of all originals of bilateral agreements concluded by Seychelles.

[7] New website of the Seychelles' judiciary to 'help ensure open justice' (https://africanlii.org/fr/articles/2020-03-13/carmel-rickard/new-website-of-the-seychelles-judiciary-to-help-ensure-open-justice) 
    The judiciary of Seychelles has launched a new website, providing access to the judgments of its courts as well as giving the judiciary a more huma...

[8] Country Links (S-Z) - Department of Justice (https://www.justice.gov/jmd/ls/countries-s-z) - Published: 2025-07-15 
    Government & Courts. Seychelles Office of the Attorney General · Office of the President of the Republic of Seychelles · Seychelles Business ..."
